Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
46,573677,,20.1875,,16.8333,,18.9286,,24.2222,,27.2653,,28.0612,,30.8611,,26.6,,20.8333,,22.3125,,16.0333,,24.4286,,16.5,,24.88,,27.1786,,26.3469,,26.8214,,24.2857,,28.2143,,27.3,,30.52,,18.275,,18.6389,,16.6032,,15.2833,,27.8367,,23.875,,23.0313
47,583677,,21.0208,,16,,19.5714,,25.0278,,27.7347,,28.6327,,31.5278,,25.55,,21.1944,,23.1458,,15.6667,,25.6786,,16.7222,,24.68,,27.75,,26.8776,,26.3929,,23.9429,,28.1429,,28,,30.56,,18.85,,18.6111,,16.3492,,14.75,,26.4694,,23.8571,,23.1875
48,593677,,19.875,,14.9,,19.119,,24.3333,,27.2041,,27.3061,,30.6111,,25.3,,21.25,,23.2083,,15.2333,,25.3929,,16.6111,,24.94,,26.8571,,25.7959,,26.6429,,23.6571,,29.0714,,27.4,,30.2,,18.075,,18.6667,,17.0476,,15.3667,,27.4286,,24.3929,,23.0313
49,603676,,20.25,,15.5333,,20.1667,,24.6667,,26.2857,,27.3878,,30.7222,,24.65,,21.1111,,22.4167,,16.1,,25.6071,,16.1111,,23.6,,27.8929,,26.5918,,27.0357,,24.2571,,28.3333,,26.1,,29.24,,17.575,,19.5833,,17.381,,14.8667,,27.2857,,25.1071,,22.9688
50,613676,,20.2917,,15.8333,,18.6667,,24.7778,,26.8571,,27.102,,30.8194,,26.85,,21.0278,,21.7083,,14.5333,,24.7143,,17.1111,,24.02,,26.5893,,25.6327,,25.8929,,24.0286,,28.9762,,27.85,,29.92,,18.25,,19.7222,,16.6825,,14.6167,,27.4694,,23.75,,22.6875
51,623676,,19.9167,,15.6667,,19.0238,,24.2222,,26.4898,,27.5714,,31.1111,,25.95,,21.4444,,21.7917,,14.9333,,25.8214,,16.7778,,24.22,,27.3929,,26.8163,,27.25,,24.9429,,27.8571,,27.35,,29.96,,18.275,,18.9167,,16.381,,14.9,,27.1633,,23.8214,,21.75
52,633675,,19.5,,15.9667,,19.4524,,24.1667,,26.551,,27.6531,,30.625,,25.95,,21.5278,,22.3542,,14.9333,,25.8571,,17.7222,,25.02,,27.5893,,26.3673,,27.0357,,24.1429,,28.3333,,26.35,,29.88,,17.95,,19.8889,,17.0317,,14.4667,,27.5306,,24.0357,,22.4375
53,643675,,20.0208,,14.4667,,19.4762,,23.8056,,27.5102,,26.898,,30.0972,,25.9,,20.8611,,22.7083,,15.4667,,25.5357,,14.6667,,23.8,,26.5,,26.2245,,25.75,,24.5429,,28.6667,,26.55,,29.68,,18.45,,19.3611,,17.2381,,14.8833,,27.3469,,24.9286,,23.1563
54,685407,,20.2917,,16.7,,19.3333,,23.8333,,27.7959,,27.9796,,31.3056,,24.3,,20.1944,,22.8542,,15.3,,25.3929,,16.6667,,24.74,,26.6071,,25.9796,,26.7143,,24.5714,,28.4048,,26.7,,29.88,,17.275,,18.4444,,16.8889,,14.1167,,27.8367,,24.0893,,23.5
55,695392,,20.3125,,15.7667,,19.9524,,24.6389,,27.1633,,27.6122,,30.9861,,26,,21.3056,,21.7917,,15.0333,,25.1071,,16.8333,,24.24,,28.0714,,26.3061,,26.8214,,25.1143,,28.1905,,28.05,,30.84,,18.8,,19.4722,,17.0317,,14.7333,,28.3061,,24.2679,,23.25
56,705392,,20.25,,15.3,,18.4762,,24.3056,,26.5918,,28,,31.4444,,24.65,,20.9722,,22.0208,,14.9333,,25.2857,,17.3889,,24.76,,27.25,,26.3878,,25.2143,,25.2286,,27.1905,,27.05,,29.68,,18.4,,18.8889,,16.4603,,15.1333,,26.6939,,24.5714,,22.4063
57,715392,,20.1875,,15.2667,,18.5,,23.9722,,27.4286,,28.102,,31.125,,23.9,,21.3333,,22.4792,,13.8333,,24.4286,,17.2222,,24.08,,26.6786,,26.8163,,26.7143,,24.0571,,28.6429,,28,,29.72,,18.275,,19.3333,,16.5397,,15.0167,,27.8571,,23.8393,,22.5
58,725392,,20.75,,16.6667,,19.9762,,24.0556,,27.6122,,28.3673,,30.6111,,25.85,,21.0833,,22.8125,,15.6,,24.9286,,18.0556,,24.9,,27.375,,27.1633,,27.0357,,24.8571,,28.7857,,26.3,,29.92,,18.25,,20,,16.6825,,15.3667,,27.0408,,24.5,,22.75
59,735391,,20.875,,15.0667,,19.5952,,23.3333,,26.5102,,26.8367,,30.0417,,25.85,,19.8333,,22.7292,,14.5667,,25.2857,,17.1667,,23.54,,26.6607,,26,,25.9286,,24.8,,27.6667,,26.35,,31.2,,18.3,,19.2778,,16.8571,,14.7833,,27.1429,,23.7321,,21.625
60,745391,,20.4167,,15.5333,,18.7143,,25.0556,,27.8776,,27.6531,,30.9722,,24.85,,20.9444,,23.0417,,14.5,,24.8214,,16.3333,,23.9,,27.625,,25.8163,,25.5714,,24.1714,,28.5476,,27.4,,30.56,,18.575,,19.4167,,16.6508,,14.45,,27.7551,,24.1071,,23.3125
61,755391,,19.7083,,15.3667,,18.8333,,23.8056,,27.449,,28.0204,,30.875,,24.55,,21.6944,,22.3542,,15.0667,,25.2857,,17.5,,23.66,,27.1786,,26.0204,,25.6429,,25.4571,,28.2143,,27,,30.8,,17.725,,18.75,,16.4444,,15.9,,26.551,,24.6607,,23.0313
62,765390,,19.7917,,15.3667,,18.619,,22.5278,,26.5918,,28.2857,,30.9167,,25.4,,20.8333,,22.0417,,14.6333,,25.6071,,16,,24.82,,27.1071,,25.1429,,25.8929,,24.7714,,28,,28.4,,29.76,,18.05,,19.6389,,16.9683,,14.9333,,26.8776,,24.3036,,23.1875
63,775390,,20.5417,,16.1,,18.5476,,24.1667,,26.4898,,28.5918,,30.8056,,26.4,,21.4444,,22.6667,,15.3333,,26.0714,,16.9444,,24.54,,27.5357,,26.1633,,27.5,,25.4,,28.2857,,27.25,,28.72,,18.35,,19.6667,,16.9841,,14.3,,27.6327,,24.6964,,22.9688
64,785390,,20.1875,,15.5667,,19.3095,,23.4167,,26.9388,,27.3469,,31.3333,,24.6,,20.3889,,22.4375,,15.1667,,24.3214,,16.4444,,23.5,,27.8393,,25.8367,,25.5,,25.1143,,28.1905,,25,,30.48,,19.225,,18.7222,,17,,15.0333,,26.9184,,24.375,,23.9375
65,795389,,20.7708,,15.6333,,19.7857,,24.1667,,27.4898,,27.6327,,30.375,,27.1,,21.0833,,21.8958,,14.8333,,25.7143,,18,,24.4,,27.0357,,26.5714,,25.3214,,24.9143,,28.2143,,27.15,,28.92,,18.4,,19.0278,,16.4603,,15.0667,,26.9184,,24.0357,,21.9688
66,805389,,19.8958,,15.3667,,18.8571,,23.6389,,27.5102,,28.6327,,30.2639,,23.55,,20.5833,,22.0833,,15.7667,,25.5714,,15.5556,,24.54,,27.7679,,26.0204,,24.8929,,24.7714,,27.7857,,25.8,,29.56,,18.725,,19.8333,,16.4921,,14.5,,27.0204,,23.6071,,23.2813
67,815389,,20.8542,,16.2667,,20.4762,,23.5556,,27.3673,,27.1633,,31.4028,,26.4,,20.3889,,23.0417,,14.6667,,24.4643,,17.9444,,25.46,,27.1786,,26.0816,,26.8571,,25.2,,28.9524,,26.8,,30.16,,17.85,,19.4167,,16.4603,,14.9667,,27.5102,,24.7679,,22.3438
68,825388,,20.7917,,15.1667,,18.5952,,24.1944,,27.2857,,28.4694,,30.7083,,25.5,,21.0833,,21.375,,13.5333,,24.5357,,17.2778,,24.66,,27.6429,,25.7347,,25.8929,,25.3429,,29.3333,,27.2,,30.52,,18,,19.9722,,16.2857,,15.65,,27.102,,24.6786,,22.875
69,835388,,20.1667,,15.9,,19.9762,,23.5556,,27.3878,,27.3061,,30.9583,,25.3,,20.6667,,22.5,,14.9333,,25.6429,,17.5,,23.54,,26.8571,,26.3878,,26.2857,,24.8286,,28.3333,,26,,30.16,,18.425,,18.7778,,16.7143,,14.2333,,27.5102,,24.1964,,22.375
