Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
51,586929,,19.0063,,20.4495,,21.0088,,23.726,,22.0078,,28.2204,,24.7651,,18.9106,,18.0761,,16.9488,,17.8414,,16.9952,,15.5639,,19.3729,,16.8474
52,596928,,17.8535,,19.3076,,19.4367,,17.8699,,21.8141,,22.8622,,19.1001,,18.2827,,18.5758,,17.0476,,17.607,,18.8009,,15.1773,,14.6064,,15.7377
53,606928,,15.5902,,22.2376,,18.586,,22.4268,,21.3586,,20.684,,19.8162,,16.2393,,16.6229,,17.2096,,16.1997,,16.6719,,14.6446,,19.0492,,16.9231
54,616928,,18.4552,,18.6266,,18.016,,19.4326,,22.6351,,23.8916,,18.5577,,18.2844,,15.9006,,16.6048,,16.5214,,16.7699,,14.209,,16.8028,,17.842
55,626927,,16.0312,,20.2547,,24.617,,22.8211,,19.415,,24.239,,19.2207,,16.8173,,19.2374,,16.7817,,15.8915,,16.0797,,13.6559,,14.8754,,15.2477
56,636928,,14.9255,,21.2547,,22.2892,,25.3385,,17.6671,,25.4834,,21.6801,,17.2219,,17.9994,,17.2976,,16.3212,,17.3898,,14.2793,,16.2793,,16.1866
57,646927,,19.9333,,18.3406,,19.5991,,22.7585,,19.9857,,21.7203,,22.919,,17.44,,17.5552,,16.3512,,15.6237,,17.184,,14.9368,,16.8375,,16.8682
58,656926,,15.6794,,21.4888,,22.076,,24.0108,,20.3875,,26.4865,,17.4906,,19.528,,17.2985,,17.4851,,16.2633,,18.9395,,15.3151,,16.759,,16.0736
59,666926,,17.3397,,20.4553,,20.1844,,19.0415,,20.6503,,26.7067,,17.2677,,18.5497,,16.8532,,18.1424,,16.8978,,15.6786,,13.768,,15.6745,,15.5753
60,676926,,17.2652,,20.3353,,23.0801,,19.0059,,20.0344,,24.1439,,18.2208,,17.8598,,17.2365,,18.1888,,17.3015,,18.6776,,14.918,,18.3832,,15.4356
61,686926,,16.0156,,20.0182,,24.0366,,19.383,,17.6997,,24.7784,,20.3112,,17.8176,,18.3876,,16.9043,,15.7834,,16.4824,,15.5314,,17.3103,,14.997
62,696925,,14.9371,,19.3898,,22.9573,,20.4002,,19.9301,,22.054,,19.6924,,17.2224,,17.2617,,17.8479,,15.811,,15.574,,14.1438,,16.2281,,14.8265
63,706925,,17.1861,,15.9315,,18.183,,21.6116,,18.8127,,24.1571,,18.1442,,16.8901,,16.455,,16.5521,,17.2258,,15.8906,,14.3203,,16.3134,,16.1025
64,716925,,15.9159,,17.2854,,16.5617,,20.7103,,17.4599,,23.9614,,19.8439,,17.989,,18.6099,,17.0051,,16.4538,,16.0607,,15.1843,,15.7274,,15.7891
65,726924,,15.1915,,20.5513,,17.7382,,19.923,,17.9841,,20.7051,,16.9783,,18.3281,,17.8306,,16.9415,,17.7214,,17.7831,,14.7497,,15.4097,,15.7758
66,780693,,15.0002,,21.0115,,15.9678,,19.9695,,18.5553,,22.0672,,18.5481,,16.9236,,18.192,,17.5147,,16.4624,,16.1198,,15.1491,,16.5506,,15.405
67,790688,,14.0987,,17.8382,,18.6683,,21.3714,,19.3613,,20.0095,,19.5876,,16.4133,,21.1891,,16.5375,,15.3023,,17.0002,,15.0414,,16.4873,,15.0893
68,800688,,15.9705,,16.4801,,17.8,,19.3508,,17.9857,,21.3305,,19.9079,,17.3827,,16.396,,17.5691,,17.3683,,17.3849,,14.4121,,16.1184,,14.3517
69,810688,,14.369,,19.2255,,17.2292,,19.5771,,18.9541,,21.6747,,18.6513,,17.6543,,18.3857,,15.7585,,15.1315,,17.4039,,15.1078,,14.6874,,15.5991
70,820687,,14.6824,,17.0032,,22.397,,18.9493,,16.5597,,20.3579,,17.6542,,17.5587,,18.3646,,17.1798,,17.1098,,18.2376,,15.1317,,17.0193,,15.1599
71,830687,,15.2645,,18.0004,,20.9511,,23.0421,,17.5202,,20.9205,,15.4154,,18.3562,,17.686,,15.467,,17.6494,,17.2765,,14.7905,,16.4286,,16.2296
72,840687,,15.8203,,18.3622,,20.6658,,23.665,,17.1577,,19.4535,,21.2863,,18.0306,,17.3225,,18.661,,16.2035,,21.5306,,14.802,,15.9877,,15.6806
73,850686,,13.0877,,17.456,,23.3674,,21.1717,,20.555,,22.7396,,16.6007,,16.6962,,16.9436,,16.0907,,17.1043,,17.2146,,14.2553,,15.8886,,16.2737
74,860685,,17.4846,,19.4554,,21.7393,,18.92,,18.1307,,26.1044,,16.7854,,17.3056,,18.0986,,16.6542,,17.0696,,16.2557,,14.2562,,16.2014,,15.485
75,870687,,18.6023,,14.2228,,18.2353,,18.738,,16.9055,,18.9528,,15.7069,,17.504,,16.6887,,18.0379,,16.0899,,15.136,,14.3098,,16.0396,,15.2345
76,880686,,15.9948,,14.6558,,21.8806,,20.4027,,17.9335,,24.9309,,18.509,,18.3765,,17.8467,,16.5947,,17.0168,,18.2469,,14.7954,,14.6208,,15.638
77,890684,,16.2386,,15.6926,,20.6617,,19.47,,16.7929,,17.8991,,20.8172,,17.1717,,18.0928,,16.9509,,16.9078,,16.5467,,14.4852,,16.3193,,15.4657
78,900685,,15.4557,,18.9568,,22.0606,,19.5463,,19.7424,,33.4998,,15.4298,,17.1667,,19.081,,17.383,,16.0423,,15.3871,,14.6261,,16.0309,,15.7337
79,910684,,13.637,,16.7777,,17.4285,,20.3077,,16.6244,,20.6701,,18.0065,,20.5977,,18.6175,,15.8752,,16.4127,,15.8382,,14.6652,,14.4951,,15.268
80,920684,,15.0086,,18.6933,,20.1098,,24.7364,,16.5461,,17.7218,,18.1139,,17.1296,,20.9745,,15.8287,,18.4592,,15.788,,14.2229,,15.6944,,16.3562
81,930695,,12.4863,,15.2622,,22.3288,,22.3032,,18.2927,,21.1141,,18.105,,17.0135,,16.316,,16.6309,,16.0723,,15.8645,,14.3828,,16.2683,,15.25
82,940684,,13.7588,,16.4998,,17.4661,,18.8724,,16.9192,,18.6097,,16.364,,17.3969,,18.59,,15.5244,,15.2059,,15.9853,,12.9501,,14.9803,,15.0138
83,950683,,14.8181,,21.0652,,16.8134,,25.6714,,16.3201,,22.4421,,18.2502,,16.8567,,18.4511,,15.9373,,14.861,,18.1058,,15.0272,,14.9732,,15.7824
84,1001973,,15.25,,22.6778,,20.2805,,21.5182,,17.6457,,20.7029,,17.6448,,16.7202,,15.4064,,16.4651,,16.0104,,16.3042,,14.1554,,15.2316,,15.9067
85,1011963,,13.4586,,19.5415,,20.3997,,19.0706,,16.5294,,21.8186,,15.1955,,15.1073,,15.0667,,15.5842,,15.573,,17.5102,,14.9119,,15.381,,15.6695
86,1021962,,13.7275,,19.608,,20.2016,,19.4704,,17.2494,,17.4373,,15.9044,,14.7275,,14.8554,,15.1766,,15.1351,,16.5413,,14.2707,,14.246,,15.1531
87,1031961,,16.5923,,16.2095,,19.1054,,17.7253,,16.9294,,20.1323,,15.4643,,16.225,,14.5646,,14.7775,,14.4544,,15.4244,,15.3193,,14.0325,,15.1739
88,1041962,,15.7695,,20.6155,,21.8888,,21.7724,,19.425,,22.4539,,14.7957,,17.1085,,16.1466,,14.948,,16.3639,,14.316,,16.0675,,15.1216,,14.2551
89,1051962,,15.6085,,17.0337,,20.3764,,18.9116,,17.9326,,19.2265,,14.6893,,16.314,,15.805,,15.2108,,15.1007,,16.4582,,16.4682,,14.1346,,14.5765
90,1061961,,14.4932,,18.5345,,17.857,,21.1018,,16.0217,,20.9568,,15.5021,,15.8371,,14.225,,14.8211,,15.5196,,15.6832,,17.6037,,18.1312,,14.7551
91,1072063,,18.1458,,19.029,,16.2441,,16.499,,14.8588,,20.8956,,16.1692,,15.416,,14.8459,,14.6398,,14.3662,,16.1515,,18.2577,,14.4873,,14.2603
92,1081961,,14.5523,,18.6645,,17.3861,,18.9894,,16.0072,,20.0959,,14.5632,,14.1121,,14.4652,,14.8843,,15.1175,,15.7058,,18.8508,,13.9225,,15.1345
