Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
47,535457,,18.3091,,18.2333,,18.8929,,20.48,,20.5143,,21.8409,,22.1429,,21.898,,19.9333,,20.6667,,21.08,,18.325,,21.5,,14.4,,16.2917,,17.2,,17.96,,12.9429,,14.0667,,22.5278,,18.8286,,22.5,,21.3265,,21.3704,,14.8667,,25.5556,,15.381,,15.3143
48,545456,,19.2545,,18.4667,,18.0536,,20.56,,21.7143,,21.8182,,22.7143,,21.7551,,19.6667,,20.8333,,21.92,,17.625,,21.3333,,14.1,,16.375,,17.2,,15.48,,13.6,,14,,22.6944,,19.3143,,22.6296,,20.2245,,21.5926,,16.0333,,25,,15.9524,,15.6286
49,555456,,18.9091,,18.6,,19.4286,,19.68,,20.5429,,21.8182,,22.6071,,21.5918,,18.9667,,20.5,,21.34,,18.45,,18.5417,,14,,15.4167,,17.4,,16.84,,12.4,,13.8667,,23.0278,,18.5857,,22.9815,,19.6122,,21.3889,,15.4333,,24.3333,,15.8571,,15.1143
50,565456,,18.9273,,18.7333,,19.5,,18.92,,21.1714,,21.8523,,22.4643,,23.2041,,18.8333,,20.5833,,21.22,,19,,20.625,,15.1,,16.1667,,17.5,,16.92,,13.4286,,14.4,,22.75,,18.9,,22.1852,,21.8571,,21.1481,,16.2,,24.6389,,16.8095,,16.1143
51,575455,,18.8364,,18.1333,,18.0179,,19.48,,21,,22.2273,,22.1429,,21.4694,,20.3333,,20.4167,,20.88,,18.25,,19.6667,,14.7,,16.5833,,17.525,,17.12,,13.6571,,14.6,,22.3611,,18.8,,22.2963,,21.3265,,21.0185,,15.5667,,24.8889,,16.1429,,16.3143
52,585455,,18.7818,,18.9667,,18.4643,,20.16,,20.7143,,21.3977,,22.1071,,22.3265,,19.8333,,20.7083,,20.7,,17.85,,19.7917,,14.85,,16.9583,,17.35,,17.96,,12.6571,,13.9333,,22.2222,,18.5,,21.9074,,20.6122,,21.3704,,16.6,,24.8611,,16.4286,,15.1429
53,595455,,18.1818,,19.3333,,19.4821,,19.04,,20.9143,,21.6136,,21.8571,,21.7959,,18.1667,,20.5417,,20.74,,18.275,,20.7917,,15.05,,16.0417,,17.675,,17.2,,12.2571,,13.8333,,21.3611,,18.7143,,23.0926,,20.551,,22.0185,,15.1,,24.6667,,16.7619,,14.4286
54,605454,,18.7818,,18.6667,,19.1607,,19.16,,21.2,,22.3295,,23,,22.0816,,20.3,,19.5833,,21.76,,18.675,,19.1667,,13.5,,15.875,,17.225,,17.28,,12.4,,14.7333,,21.9722,,18.9429,,22.3889,,21,,21.2037,,16.3,,24.1389,,15.2381,,15.8857
55,615454,,18.2364,,17.9667,,18.2679,,19.56,,20.5143,,22.0114,,21.4643,,22.0612,,18.9333,,20.1667,,21.88,,18.85,,20.4583,,14.9,,16.8333,,16.9,,18.36,,12.8,,13.7,,21.7778,,17.8714,,22.5926,,21.3265,,21.8519,,15.6667,,23.8889,,15.5238,,15.2857
56,625454,,18.2364,,18.7667,,18.6071,,20.24,,21.4286,,22.2273,,22.3929,,22.6939,,20.3333,,20.125,,20.98,,18.825,,21.125,,15.15,,16.2083,,17,,17.4,,13.2857,,13.3667,,21.9444,,18.6,,22.4815,,21.0204,,21.6852,,14.8333,,24.1667,,16.5238,,15.5714
