Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
94,1047396,,0.875,,0.6813,,0.8308,,1.1296,,0.7703,,1.0074,,0.7926,,0.7737,,0.6449,,0.6659,,0.6667
95,1057380,,0.899,,0.7272,,0.8728,,1.1792,,0.8203,,1.0493,,0.7853,,0.8092,,0.6346,,0.6542,,0.6758
96,1067379,,0.9235,,0.7692,,0.8695,,1.1839,,0.8276,,1.0026,,0.7916,,0.7948,,0.6434,,0.6592,,0.6591
97,1077381,,0.9153,,0.7484,,0.8804,,1.1807,,0.8347,,0.9624,,0.8018,,0.7953,,0.6171,,0.6685,,0.6697
98,1087380,,0.89,,0.7875,,0.876,,1.1619,,0.8466,,0.9489,,0.7749,,0.7972,,0.6083,,0.6551,,0.6499
99,1097379,,0.8792,,0.7918,,0.8923,,1.1278,,0.8398,,0.951,,0.7592,,0.7689,,0.6113,,0.6632,,0.6614
100,1107379,,0.8544,,0.7887,,0.8795,,1.0896,,0.864,,0.9046,,0.7783,,0.7667,,0.62,,0.6688,,0.6561
101,1117380,,0.8372,,0.7895,,0.901,,1.083,,0.8626,,0.9023,,0.7675,,0.7681,,0.6207,,0.6639,,0.6695
102,1127379,,0.8308,,0.7937,,0.9005,,1.077,,0.8474,,0.8971,,0.7625,,0.7507,,0.6203,,0.6593,,0.6787
103,1137379,,0.8369,,0.7812,,0.8831,,1.063,,0.8377,,0.8486,,0.768,,0.7408,,0.638,,0.6495,,0.6757
104,1147378,,0.8463,,0.7762,,0.8877,,1.0375,,0.8297,,0.8596,,0.7465,,0.7697,,0.6348,,0.6508,,0.6614
105,1157380,,0.8472,,0.7837,,0.8934,,1.0162,,0.8461,,0.853,,0.7631,,0.7486,,0.6339,,0.6525,,0.6683
106,1167378,,0.8283,,0.7937,,0.8919,,0.9993,,0.8366,,0.8433,,0.739,,0.7763,,0.6283,,0.6654,,0.683
107,1177377,,0.8268,,0.7616,,0.8963,,1.0051,,0.8274,,0.843,,0.7384,,0.7793,,0.6386,,0.674,,0.6945
108,1187378,,0.836,,0.7829,,0.902,,0.9969,,0.8107,,0.8575,,0.76,,0.7565,,0.6241,,0.6749,,0.6791
109,1197376,,0.8404,,0.7717,,0.9138,,0.9853,,0.8019,,0.8379,,0.7491,,0.7607,,0.6143,,0.6552,,0.6723
110,1207377,,0.8279,,0.7487,,0.8891,,0.9866,,0.7912,,0.8097,,0.732,,0.7378,,0.6319,,0.6555,,0.6539
111,1217375,,0.8283,,0.762,,0.8857,,0.978,,0.8076,,0.8014,,0.7363,,0.7675,,0.6147,,0.6503,,0.6808
