Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
27,336278,,0.9109,,1.1802,,1.7358,,1.4047,,1.2699,,1.3924,,1.0222,,1.2544,,1.1215,,1.2262,,0.8587,,1.084,,0.76,,0.9297,,1.4442,,1.1829,,0.9782,,1.8277,,1.4598,,1.0146,,0.6498,,0.9232,,0.9058,,0.9375,,1.3499,,1.1058,,1.3079,,0.7951
28,346277,,0.8544,,1.2115,,1.6289,,1.3129,,1.2222,,1.199,,0.9301,,1.2336,,1.0034,,1.2683,,0.8256,,1.1396,,0.8211,,0.9114,,1.3777,,1.1602,,0.9253,,1.5935,,1.4469,,0.97,,0.6592,,0.9379,,0.8454,,0.874,,1.058,,1.0197,,1.2269,,0.8085
29,356276,,0.8397,,1.1353,,1.4742,,1.2637,,1.2472,,1.0648,,0.8825,,1.2372,,0.9015,,1.2157,,0.843,,1.1628,,0.727,,0.8746,,1.3777,,1.127,,0.8459,,1.3263,,1.3314,,0.9552,,0.6502,,0.9248,,0.7998,,0.816,,0.8634,,0.9568,,1.2251,,0.8267
30,366276,,0.8651,,1.1229,,1.2274,,1.2583,,1.2448,,0.979,,0.8393,,1.2162,,0.815,,1.2018,,0.8217,,1.115,,0.6327,,0.876,,1.3456,,1.0409,,0.8234,,0.9819,,1.3331,,0.9317,,0.6514,,0.9065,,0.7527,,0.7558,,0.7383,,0.9308,,1.1687,,0.7856
31,376275,,0.8168,,1.1352,,0.9956,,1.2533,,1.213,,0.8953,,0.8454,,1.214,,0.7601,,1.2556,,0.7707,,1.0043,,0.6281,,0.8836,,1.3314,,1.0305,,0.7743,,0.8039,,1.3108,,0.9272,,0.6426,,0.9014,,0.7321,,0.7109,,0.6797,,0.9141,,1.1495,,0.7795
32,386276,,0.7837,,1.1076,,0.8832,,1.2476,,1.1901,,0.8302,,0.8076,,1.1742,,0.7118,,1.1167,,0.7347,,0.951,,0.6087,,0.8967,,1.2973,,0.9632,,0.7292,,0.7187,,1.2667,,0.9246,,0.6441,,0.8953,,0.7129,,0.6829,,0.6722,,0.9175,,1.158,,0.8098
33,396276,,0.7768,,1.0997,,0.8354,,1.211,,1.1466,,0.7915,,0.8158,,1.1559,,0.6963,,1.0684,,0.703,,0.9079,,0.6093,,0.8471,,1.2094,,0.9476,,0.6969,,0.6807,,1.2442,,0.8895,,0.6466,,0.9136,,0.7161,,0.646,,0.6478,,0.9092,,1.0275,,0.7688
34,406274,,0.7792,,1.0633,,0.7988,,1.1873,,1.0689,,0.767,,0.8064,,1.1436,,0.6787,,1.0472,,0.6812,,0.8482,,0.6223,,0.8628,,1.2012,,0.8972,,0.6937,,0.6513,,1.177,,0.9385,,0.6452,,0.8701,,0.6988,,0.6372,,0.6244,,0.8301,,0.973,,0.7717
35,416273,,0.77,,1.0405,,0.7855,,1.1357,,1.0395,,0.7364,,0.7993,,1.0692,,0.6695,,1.0195,,0.6601,,0.8017,,0.5897,,0.8509,,1.1668,,0.8248,,0.7004,,0.6395,,1.0746,,0.8929,,0.6349,,0.8649,,0.6745,,0.634,,0.591,,0.7987,,0.8528,,0.7705
36,426275,,0.7518,,0.9959,,0.7568,,1.1075,,0.9821,,0.7302,,0.794,,1.029,,0.6647,,1.0172,,0.6471,,0.7837,,0.601,,0.8557,,1.0788,,0.7719,,0.6866,,0.6313,,1.0647,,0.8722,,0.6298,,0.8481,,0.669,,0.6262,,0.5716,,0.7816,,0.804,,0.7629
37,436275,,0.7583,,0.9721,,0.7726,,1.0762,,0.9435,,0.727,,0.7859,,0.9874,,0.671,,0.93,,0.6394,,0.7515,,0.6031,,0.7763,,1.0439,,0.7318,,0.6947,,0.6321,,1.063,,0.8916,,0.6275,,0.851,,0.6726,,0.6353,,0.5856,,0.7771,,0.7466,,0.7559
38,446274,,0.7545,,0.9686,,0.7966,,1.0563,,0.9061,,0.7209,,0.7833,,0.9332,,0.6679,,0.9564,,0.6383,,0.7396,,0.6038,,0.7401,,1.0165,,0.7138,,0.703,,0.6369,,1.108,,0.8892,,0.6419,,0.87,,0.6662,,0.6259,,0.5786,,0.7692,,0.7289,,0.7641
39,456274,,0.7466,,1.015,,0.8052,,1.0821,,0.8924,,0.7326,,0.7914,,0.9509,,0.6688,,0.9918,,0.6178,,0.7126,,0.6076,,0.6468,,1.06,,0.707,,0.6817,,0.6378,,1.0795,,0.8834,,0.6437,,0.8864,,0.6686,,0.6378,,0.6002,,0.7651,,0.7129,,0.7407
40,466273,,0.7301,,1.0002,,0.82,,1.0994,,0.9031,,0.7327,,0.7787,,0.9793,,0.6503,,0.9557,,0.6265,,0.7302,,0.6227,,0.6104,,1.0333,,0.7098,,0.7055,,0.6191,,1.1131,,0.8859,,0.6423,,0.8808,,0.6766,,0.6309,,0.5908,,0.7677,,0.6855,,0.7404
41,476273,,0.7318,,0.9827,,0.8309,,1.0702,,0.8848,,0.7256,,0.7737,,1.007,,0.6598,,0.9668,,0.6363,,0.7343,,0.9654,,0.594,,0.9611,,0.6828,,0.69,,0.6156,,1.0281,,0.8735,,0.6326,,0.882,,0.6719,,0.6344,,0.6012,,0.776,,0.6487,,0.7645
42,486273,,0.7498,,0.9746,,0.8347,,1.0762,,0.8559,,0.7323,,0.7572,,0.9489,,0.6587,,0.9151,,0.6344,,0.7484,,0.8738,,0.5938,,0.9609,,0.6794,,0.6715,,0.6111,,0.9875,,0.8945,,0.6449,,0.8732,,0.6707,,0.621,,0.5964,,0.7708,,0.626,,0.7741
43,496273,,0.7508,,0.914,,0.8601,,1.0994,,0.8419,,0.7306,,0.7536,,0.9092,,0.6554,,0.8919,,0.6212,,0.7224,,0.6876,,0.5876,,0.9573,,0.6803,,0.7028,,0.6147,,1.0466,,0.8924,,0.6528,,0.8762,,0.6659,,0.6294,,0.599,,0.7796,,0.6232,,0.756
44,506272,,0.7475,,0.9358,,0.8774,,1.0164,,0.8435,,0.7278,,0.7481,,0.9116,,0.66,,0.917,,0.6214,,0.6831,,0.6158,,0.5665,,0.9767,,0.6781,,0.6722,,0.6073,,1.1243,,0.8701,,0.6596,,0.8822,,0.6539,,0.6316,,0.5953,,0.7699,,0.5946,,0.7311
45,516272,,0.7304,,0.9406,,0.8817,,0.9957,,0.8473,,0.7215,,0.746,,0.8982,,0.6484,,0.9204,,0.6243,,0.6523,,0.614,,0.5745,,0.9147,,0.6622,,0.6525,,0.6102,,1.0949,,0.9042,,0.6497,,0.8719,,0.6584,,0.6382,,0.594,,0.7789,,0.6008,,0.7573
46,526271,,0.7433,,0.8908,,0.8829,,1.1125,,0.8045,,0.731,,0.7456,,0.9031,,0.6395,,0.8756,,0.6126,,0.6286,,0.5981,,0.5579,,0.9442,,0.6555,,0.6843,,0.6125,,0.8789,,0.8869,,0.6513,,0.8823,,0.6492,,0.6276,,0.5965,,0.7651,,0.5884,,0.7607
47,536271,,0.7174,,0.867,,0.87,,1.0889,,0.7935,,0.7177,,0.7627,,0.8717,,0.6254,,0.9032,,0.6164,,0.6346,,0.6189,,0.5731,,0.983,,0.6423,,0.6623,,0.6016,,0.8669,,0.8767,,0.6485,,0.8778,,0.644,,0.6337,,0.6078,,0.761,,0.5893,,0.772
48,546270,,0.7126,,0.8081,,0.8793,,0.9939,,0.7523,,0.7187,,0.7753,,0.895,,0.636,,0.8803,,0.6119,,0.6094,,0.6009,,0.5666,,0.9343,,0.6282,,0.6599,,0.6006,,0.8721,,0.8726,,0.6497,,0.8792,,0.6403,,0.6274,,0.6011,,0.7726,,0.5637,,0.7283
49,556270,,0.7022,,0.7994,,0.8671,,1.1071,,0.7282,,0.719,,0.7443,,0.9039,,0.6315,,0.8573,,0.6081,,0.6142,,0.6212,,0.5737,,0.8839,,0.6181,,0.6683,,0.6239,,0.9082,,0.8518,,0.6496,,0.883,,0.6422,,0.6269,,0.6239,,0.7666,,0.5917,,0.7409
50,566271,,0.7121,,0.7896,,0.8814,,1.0406,,0.7191,,0.7159,,0.7366,,0.8997,,0.651,,0.7995,,0.6069,,0.6016,,0.6122,,0.5743,,0.9383,,0.6033,,0.6803,,0.6467,,1.0777,,0.8617,,0.6505,,0.871,,0.6542,,0.6438,,0.6246,,0.7726,,0.5796,,0.7473
