Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
33,338821,,33.0661,,39.7125,,28.6852,,25.375,,27.0179,,32.6296,,38.6607,,24.0571,,39.8125,,44.1875,,46.5417,,58.3333,,47.3968,,48.3906,,28.5833,,26.1563,,27.92,,30.6667,,30.6327,,31.38,,27.7857,,18.0476,,15.425,,27.6071,,17.4792,,20.2222,,17.3125
34,348821,,33.4628,,39.625,,28.9815,,24.9167,,27.0357,,32.7037,,37.6964,,23.6286,,40.5625,,44.9375,,46.125,,57.4848,,47.1905,,48.2344,,29.2778,,24.9375,,29.4,,30.3333,,30.0408,,31.46,,26.9524,,17.9524,,15.75,,28.5,,16.7083,,19.6111,,16.8438
35,358821,,32.8347,,40.3125,,28.1667,,25.3333,,27.0357,,32.8519,,38.1607,,23.2286,,40.4688,,43.625,,46.5417,,57.1313,,46.8254,,47.5781,,28.4722,,25.25,,28.72,,30.1667,,31.4082,,30.88,,27.3333,,17.8413,,15.775,,28.2143,,16.6875,,20.4722,,16.5938
36,368820,,33.405,,39.425,,27.7407,,24.8125,,27.4464,,32.8519,,37.7679,,24.4571,,40.2344,,44.0625,,44.9375,,58.1616,,48.0635,,47.9688,,27.9167,,25.2188,,28.24,,30.9167,,32.0612,,31.3,,27.4048,,17.9365,,15.4,,26.8214,,17.7083,,19.4444,,17.2188
37,378820,,33.1074,,39.5125,,28.9815,,25.0833,,28.1071,,32,,38.6964,,23.9429,,39.2656,,45.0417,,46,,57.6768,,47.2857,,48.2031,,28.8333,,25.0625,,29.28,,30.5,,30.3469,,31.88,,27.4048,,17.2063,,16.125,,26.6429,,17.375,,20.0833,,16.5156
38,388822,,32.3306,,39.9125,,28.3889,,25.2917,,27.0357,,32.7593,,38.6607,,24.6,,40.6406,,44.1667,,45.375,,57.3939,,47.4286,,47,,29.1111,,24.125,,27.6,,30.5,,30.6327,,32.04,,27.3095,,16.9365,,15.125,,27.3929,,17.4792,,19.2778,,16.7813
39,407872,,32.8926,,40.6125,,28.5556,,25.1458,,27.0357,,34.2037,,38.2857,,23.3143,,39.9531,,43.4375,,46.125,,58.202,,47,,48.375,,28.3333,,25.0625,,28.44,,28.9167,,31.102,,31.98,,27.2857,,18,,15.85,,27.4286,,17.1667,,20.4722,,16.8906
40,417865,,33.6198,,40.4,,28.9074,,25.3333,,28.0536,,33.037,,38.25,,23.1429,,40.5469,,43.75,,45.6042,,57.9596,,47.5397,,48.1719,,28.0833,,25.5,,28.48,,30.4167,,31.2041,,32.88,,26.9762,,17.6508,,16.1,,28.0714,,17.3958,,19.0833,,16.9219
41,427865,,33.1653,,39.5625,,28.8519,,24.75,,27.7679,,33.0926,,38.6071,,24.9143,,40.7344,,45.1042,,45.6042,,58.0606,,48.4286,,48.5469,,28.5278,,25.6563,,29.04,,30.3333,,30.8571,,31.7,,27.5714,,17.619,,15.85,,27.4643,,17.2083,,20.2778,,18.25
42,437865,,32.7107,,39.6625,,28.1852,,24.5625,,27,,33.7593,,38.7143,,25.1714,,40.8438,,45.3542,,46.6458,,57.4949,,48.7937,,48.125,,28.1944,,24.9375,,29,,30.1667,,30.0816,,31.32,,28.4048,,17.873,,15.425,,27.9643,,17.5417,,19.7222,,16.625
