Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
57,596226,,13.2851,,14.2084,,15.5632,,17.0984,,16.822,,19.4773,,12.3614,,16.9983,,15.0611,,13.8271,,13.9763,,14.8073,,13.6917,,12.6783,,11.7461,,8.0946,,11.9401,,12.4182,,13.0521,,16.6435,,12.8097,,18.2948,,20.608,,13.3431,,20.7485,,12.0657,,13.8399
58,606226,,13.1284,,14.6409,,15.6414,,15.9809,,15.7678,,17.3335,,11.457,,18.0515,,14.6024,,13.2955,,13.1835,,14.6289,,13.2149,,12.9148,,11.7262,,8.4088,,12.761,,11.7693,,12.8673,,15.8395,,12.9367,,17.9877,,16.8825,,12.3504,,17.6734,,10.6129,,11.8452
59,616226,,12.7402,,14.5053,,15.5655,,16.5997,,16.047,,20.187,,12.0319,,17.4574,,14.9048,,13.4994,,12.7455,,14.8977,,13.4091,,12.2138,,11.1865,,8.2184,,12.621,,11.6365,,12.5688,,15.7269,,11.4277,,17.9023,,20.9005,,11.8085,,19.6211,,14.1992,,13.8891
60,626226,,11.9508,,14.1143,,15.1712,,16.5243,,16.6967,,20.9661,,13.7853,,16.4963,,14.4565,,13.0659,,13.0438,,14.1358,,13.2131,,12.3797,,11.3048,,7.7221,,13.1002,,12.2616,,12.6876,,15.6284,,11.035,,16.3608,,16.4121,,10.8503,,15.1145,,12.362,,11.4303
61,637424,,13.9587,,14.6272,,16.8781,,17.0755,,16.1754,,18.0691,,12.8257,,19.4463,,14.759,,13.1554,,16.1852,,14.5611,,13.286,,13.3897,,11.3253,,7.9283,,13.9994,,12.2848,,13.5538,,15.8333,,13.1047,,19.4731,,26.9711,,11.7633,,20.2277,,10.5863,,14.4246
62,647412,,15.3907,,15.3623,,15.6721,,15.5941,,15.7519,,22.0626,,12.4815,,19.3108,,15.1034,,13.6754,,17.7531,,15.1345,,14.1882,,15.3457,,12.8672,,8.0015,,15.729,,13.6233,,14.0975,,15.7997,,15.0953,,22.5028,,25.8505,,12.9955,,22.5827,,14.3676,,14.9027
63,657411,,15.1094,,14.8142,,15.1651,,17.4043,,15.1099,,18.9825,,12.333,,18.506,,14.5245,,13.5267,,16.9888,,15.3098,,14.4827,,15.2827,,12.4382,,7.5914,,14.5138,,12.8817,,13.7474,,15.6191,,14.4056,,22.5994,,26.0582,,11.4304,,22.0958,,10.9048,,11.6819
64,667411,,14.2359,,15.1058,,16.0656,,17.206,,16.6782,,21.1305,,11.7014,,19.0765,,14.8301,,13.553,,15.9336,,15.0034,,13.724,,14.4776,,12.0736,,8.141,,14.3365,,13.2785,,13.5107,,15.4533,,13.462,,21.0467,,24.1675,,12.4903,,17.2431,,11.8604,,9.8586
65,677412,,13.2924,,14.5228,,15.3672,,16.8906,,16.1285,,18.3471,,11.961,,18.081,,14.4276,,13.5274,,14.5403,,15.2241,,13.8451,,13.1038,,11.8098,,7.7302,,13.7017,,12.1347,,13.7023,,14.747,,12.2036,,21.1475,,21.2337,,11.1518,,17.3946,,10.5304,,11.0001
66,687412,,12.6695,,14.4997,,14.6952,,15.1568,,16.5424,,20.2636,,11.4128,,18.3733,,14.4193,,13.6884,,12.9082,,14.4037,,13.152,,12.5873,,11.0104,,7.5917,,12.7034,,11.2821,,12.91,,15.4345,,11.1809,,18.3808,,17.5568,,10.406,,20.092,,12.5166,,11.6897
