Genotype,Stimulant,Peak_Index,Peak_Time,Peak,Delta_Ca,Time_to_Peak,AUC,Duration,Max_Upstroke,Max_Downstroke,Repolarisation_Slope
Hom,ATP,46,520.811,1.4215,0.4215,518.648,120.91412848484858,240.63299999999998,0.059759999999999994,-0.016256652,-0.003224035
Hom,ATP,46,520.811,1.3044,0.3044,518.648,99.24749698484855,230.63299999999998,0.044930000000000005,-0.014961342,-0.003143487
Hom,ATP,46,520.811,1.3452,0.34519999999999995,518.648,156.7021199151515,240.63299999999998,0.05206,-0.014341434,-0.001845508
Hom,ATP,23,260.138,0.6728,-0.3272,257.97499999999997,171.68128903333348,428.542,0.003960396,-0.002220222,-0.000587023
Hom,ATP,46,520.811,1.603,0.603,518.648,161.6792761090909,210.63399999999996,0.07684,-0.026012601,-0.005296738
Hom,ATP,46,520.811,1.5347,0.5347,518.648,151.77593889393935,120.66000000000003,0.06794,-0.020996084,-0.006517924
Hom,ATP,46,520.811,1.5062,0.5062,518.648,164.63769175454556,130.64500000000004,0.06108,-0.021939954,-0.006011821
Hom,ATP,46,520.811,1.5111,0.5111000000000001,518.648,140.81864177272737,210.63399999999996,0.07093,-0.046008635,-0.005269248
Hom,ATP,15,180.14,0.5628,-0.4372,177.97699999999998,0.4042356666666639,377.972,0.002489906,-0.00171,-0.000136979
Hom,ATP,46,520.811,1.1043,0.10430000000000006,518.648,82.28560831818183,220.63299999999998,0.029559999999999996,-0.018566121,-0.004418007
Hom,ATP,47,530.77,1.519,0.5189999999999999,528.607,203.24525424848477,110.637,0.045084848,-0.052935294,-0.008163769
Hom,ATP,46,520.811,1.196,0.19599999999999995,518.648,18.101389351514996,120.66000000000003,0.05051,-0.011408859,-0.004567387
Hom,ATP,46,520.811,1.2408,0.2407999999999999,518.648,32.796101724242604,160.63399999999996,0.04849,-0.018977809,-0.003246256
Hom,ATP,46,520.811,1.0127,0.012699999999999934,518.648,12.250523790909101,240.63299999999998,0.028270000000000007,-0.014479365,-0.001301809
Hom,ATP,46,520.811,1.3533,0.35329999999999995,518.648,76.48458999999997,150.63500000000005,0.04504,-0.041098504,-0.005764154
Hom,ATP,45,480.132,0.9983,-0.0017,477.969,18.610413381818102,230.63299999999998,0.02609,-0.015935335,-0.001193412
Hom,ATP,46,520.811,1.2135,0.21350000000000002,518.648,106.84097847878792,240.63299999999998,0.046819999999999994,-0.014479365,-0.003174275
Hom,ATP,46,520.811,1.3825,0.38250000000000006,518.648,97.33474549999991,200.63299999999998,0.05286,-0.021452145,-0.004357196
Hom,ATP,46,520.811,1.3005,0.3005,518.648,-8.445250797,160.63399999999996,0.04836,-0.024882016,-0.003790087
Hom,ATP,46,520.811,1.0969,0.0969,518.648,-39.52999117,140.656,0.04589,-0.016718546,-0.003238928
Hom,ATP,46,520.811,1.3428,0.3428,518.648,45.49314037575758,180.63299999999998,0.05958,-0.03169997,-0.004110156
Hom,ATP,46,520.811,1.3273,0.3272999999999999,518.648,61.711104430303095,60.637,0.02186,-0.030183753,-0.006284072
Hom,ATP,23,260.138,0.8606,-0.1394,257.97499999999997,136.73196836060606,428.542,0.018011801180118074,-0.009879012,-0.002228125
Hom,ATP,23,260.138,0.9672,-0.0328,257.97499999999997,89.89167896969684,218.52700000000002,0.027322732273227412,-0.018388161,-0.003015128
Hom,ATP,46,520.811,1.2489,0.2488999999999999,518.648,111.74263611212106,150.63500000000005,0.04858,-0.014399036,-0.003708559
Hom,ATP,21,276.283,0.8607,-0.1393,275.476,1.8566342969696965,464.668,0.003066427,-0.003909609,-0.000481101
Hom,ATP,21,276.283,0.7814,-0.2186,275.476,1.317061509090907,464.668,0.002714571,-0.002861431,-0.000549111
Hom,ATP,25,316.277,0.9424,-0.0576,315.46999999999997,7.849614280302955,464.6580000000001,0.003420342,-0.002910582,-0.000879041
Hom,ATP,22,286.278,0.9222,-0.0778,285.471,3.0790006181818166,464.663,0.003431716,-0.004328269,-0.001056871
Hom,ATP,21,276.283,0.7516,-0.2484,275.476,1.1260677939393937,464.668,0.001722929,-0.002279088,-0.000457937
Hom,ATP,21,276.283,0.7189,-0.2811,275.476,0.772449655,464.668,0.003060306,-0.003951976,-0.000423123
Hom,ATP,22,286.278,1.3569,0.3569,285.471,11.62993681818182,209.99,0.011905952976488238,-0.006661332,-0.001403976
Hom,ATP,22,286.278,1.5432,0.5431999999999999,285.471,17.981091369696966,149.99199999999996,0.021870935,-0.0148,-0.004170266
Hom,ATP,22,286.278,1.5069,0.5068999999999999,285.471,16.60228493333333,149.99199999999996,0.021250625,-0.009270927,-0.004014914
Hom,ATP,23,296.279,1.559,0.5589999999999999,295.472,16.18086844242424,149.99699999999996,0.073816908,-0.009129087,-0.004002201
Hom,ATP,22,286.278,1.8401,0.8401000000000001,285.471,24.74983403030303,159.99199999999996,0.044792396,-0.01290129,-0.00645923
Hom,ATP,22,286.278,1.662,0.6619999999999999,285.471,23.58623500606061,199.99,0.02317189,-0.010607878,-0.004676855
Hom,ATP,23,296.279,1.5131,0.5130999999999999,295.472,17.593181400000006,139.99,0.033256628314157065,-0.014492899,-0.004466146
Hom,ATP,23,296.279,1.6984,0.6983999999999999,295.472,22.745496181818183,189.99,0.02471385,-0.012991299,-0.002743412
Hom,ATP,23,296.279,1.7282,0.7282,295.472,21.70146046666667,159.99199999999996,0.035817909,-0.009940994,-0.004390286
Hom,ATP,22,286.278,1.4845,0.48449999999999993,285.471,16.21997029090909,150.02599999999998,0.069674837,-0.022217778,-0.007173279
Hom,ATP,22,286.278,1.7667,0.7666999999999999,285.471,23.408395218181816,209.99,0.034577288644322135,-0.010272054,-0.003461486
Hom,ATP,11,111.611,1.0133,0.0133,110.804,346.90759140909086,284.662,0.037043704,-0.026752675,-0.002045301
Hom,ATP,14,176.268,0.9509,-0.0491,175.461,382.6053867545454,405.467,0.032003200320032024,-0.024357564,0.005378609
Hom,ATP,13,131.611,0.5713,-0.4287,130.804,248.81520548484852,395.469,0.000839916,-0.048160736,0.009290782
