Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
33,334037,,1.7885,,1.5179,,2.037,,2.4762,,1.7321,,1.5397,,1.9583,,1.6333,,1.5714,,1.6667,,1.9444,,1.6735,,1.625,,1.7083,,1.525,,1.3714,,1.7407,,1.3571,,2.2083,,1.6964,,1.0714,,1.2333,,2.0972,,2.1667,,1.8951,,1.6429,,1.881,,1.8
34,344019,,1.5577,,1.9643,,2.3704,,2.5397,,1.6786,,1.5556,,1.5833,,2.3667,,1.8393,,1.6875,,1.3148,,1.551,,2.3542,,1.6875,,2.125,,1.5571,,2.0185,,1.8095,,1.9583,,1.7857,,2.0357,,1.6667,,1.8194,,1.8571,,2.2168,,1.625,,1.3333,,2.2
35,354019,,1.9038,,1.875,,1.8333,,2.4286,,2.1429,,1.9206,,1.6042,,1.6333,,1.7679,,1.4167,,1.6111,,1.6939,,1.8542,,1.5833,,1.7375,,1.8571,,1.8148,,1.8095,,1.5833,,1.6964,,1.8571,,1.6333,,1.9028,,2.2857,,1.8951,,2.2679,,1.6429,,1.7
36,364018,,2.0962,,2.3571,,1.9074,,2.5397,,2.1429,,1.8413,,2.1875,,1.8,,1.625,,1.9583,,1.9259,,1.6327,,2.0208,,2.0208,,2.05,,2.0143,,2,,1.7619,,2.0625,,1.5714,,1.75,,1.4333,,1.5417,,1.6429,,1.9371,,1.6607,,1.5952,,1.5667
37,374021,,1.8558,,1.7143,,1.7593,,2.2222,,1.5536,,1.8571,,1.7917,,1.7,,2.0893,,1.6458,,1.2407,,1.7755,,2,,2.125,,1.875,,1.5429,,1.5556,,1.7143,,1.1042,,1.625,,1.6071,,1.3667,,2.1389,,2.5476,,1.8741,,1.8214,,1.5,,1.8667
38,384018,,1.9135,,1.5536,,2.5,,2.254,,1.9286,,1.9683,,2.1458,,2.1,,1.9643,,2.0625,,1.5,,1.5102,,2.6042,,1.6042,,1.8625,,2.1,,1.8704,,1.7857,,1.9583,,1.9107,,2,,1.6667,,1.9028,,1.5714,,1.8182,,2.0536,,1.4524,,2
39,394097,,1.5962,,1.2679,,1.7963,,2.6508,,1.6429,,1.5873,,1.5625,,1.7,,1.9286,,1.2708,,1.7593,,1.8571,,2.3125,,1.4583,,1.6875,,1.2143,,1.8148,,1.8333,,1.7083,,1.7679,,2.3571,,1.3333,,1.8889,,1.7857,,1.5664,,2.0357,,1.8571,,1.3667
40,404020,,1.8365,,2,,2.2593,,2.6667,,1.5,,2.1587,,1.5833,,2.1667,,1.8571,,1.8125,,1.7037,,1.6735,,2.1667,,2.0208,,1.6125,,2.2286,,1.5,,1.7619,,1.7083,,1.8929,,2,,1.5,,2.0833,,1.9048,,1.9021,,1.75,,1.881,,2.2
41,414017,,1.4904,,1.9107,,1.8148,,2.4286,,2.0357,,1.8889,,1.9792,,1.5333,,1.875,,1.1875,,1.6481,,1.7347,,2.1458,,1.5833,,1.7875,,1.7429,,2.1111,,1.619,,1.9792,,2.0179,,1.8214,,1.6,,1.6389,,1.2857,,1.4406,,1.6429,,1.5952,,1.8667
42,424016,,1.6538,,1.4821,,2.3333,,2.4127,,1.875,,1.873,,2.25,,2,,1.8393,,1.7292,,2.0185,,1.8776,,2.3333,,1.9583,,2.2,,1.9143,,2.2778,,1.5952,,2.3125,,2.0536,,1.6429,,1.9667,,2.5972,,2,,2.1958,,2.1786,,1.6667,,1.4667
43,434016,,1.3077,,1.875,,2.4444,,2.6984,,1.4643,,1.6032,,1.4792,,2.5333,,1.9107,,1.3542,,1.7222,,1.5714,,2.1875,,1.9583,,1.6375,,1.9143,,1.6667,,1.4524,,1.8958,,2.0893,,1.9286,,2.0667,,2,,1.9048,,1.8042,,1.5714,,1.2857,,1.5667
44,444015,,1.6538,,1.5,,2.2037,,3.127,,1.6071,,1.7143,,2.0625,,1.5333,,2.0179,,1.75,,1.963,,1.9796,,1.7708,,2.25,,1.7625,,1.8,,2.0926,,1.7381,,1.3958,,2.1429,,1.8571,,1.5,,1.9861,,1.4762,,1.6993,,1.9821,,1.9762,,1.7333
45,454018,,53.4327,,39.3929,,67.1852,,53.0794,,42.2679,,61.3651,,47.3958,,48.2333,,61.3036,,81.3125,,63.4074,,69.2041,,54.8333,,48.7292,,48.925,,58.9286,,56.6296,,48.5238,,52.9583,,46.4286,,47.7143,,47.9333,,37.4028,,51.8333,,53.049,,65.125,,68.2381,,54
46,505193,,1.9712,,1.7857,,2.0185,,2.9206,,1.3929,,2,,1.8958,,1.5333,,2.1607,,1.6875,,1.5556,,1.6531,,2.2708,,1.7917,,1.325,,1.8286,,2.1667,,1.5952,,2.3542,,2.4464,,1.9286,,2.3333,,2.0139,,1.9762,,1.8322,,1.6786,,1.9286,,2.6667
47,515185,,1.7212,,1.8929,,1.9444,,2.7143,,1.7857,,1.6667,,1.6042,,1.7333,,1.5714,,1.7708,,1.9444,,1.4286,,2.125,,2.2083,,1.875,,1.8429,,1.2778,,1.1905,,1.7292,,1.4286,,1.9643,,1.5333,,1.7083,,1.619,,1.8252,,1.6964,,1.7143,,1.5667
48,525184,,1.5865,,1.7321,,2.1296,,2.1746,,2.0357,,1.6667,,2.4792,,1.9,,1.8393,,1.6875,,1.7778,,1.3878,,1.9375,,1.9792,,1.7625,,1.6857,,2.1481,,1.381,,2.375,,1.9107,,1.4286,,1.5333,,2.3472,,2.4048,,1.8951,,1.4286,,1.4524,,1.6667
49,535184,,2.0673,,1.6607,,1.7593,,2.5079,,1.7321,,1.9524,,2.1875,,2,,1.7321,,2.2292,,1.5741,,1.6122,,1.75,,1.9375,,1.5875,,1.4286,,1.8889,,1.5238,,2.0208,,1.6607,,1.5,,2.2667,,1.8056,,2.1667,,1.951,,1.6786,,2.0238,,1.3667
50,545186,,1.5,,1.4286,,1.8704,,2.3333,,1.6071,,1.9365,,1.7917,,2.7,,2.3036,,1.875,,1.4074,,1.5714,,2,,1.9375,,1.6,,2.3143,,1.8889,,1.2143,,1.8125,,2.1607,,2.0357,,1.8667,,1.7639,,1.8095,,1.8322,,1.5893,,1.8333,,1.8
51,555183,,1.9904,,1.3036,,1.7593,,1.9841,,2.0536,,1.8095,,1.5833,,1.7667,,1.9821,,1.4583,,1.1667,,1.6939,,2.5833,,1.875,,2.0625,,1.7714,,2.0926,,2.0476,,1.4375,,1.7321,,1.9286,,2.0333,,2.5278,,1.9286,,1.958,,2.1429,,2.6667,,1.8333
52,612944,,1.7596,,1.8393,,1.963,,1.8571,,1.5536,,1.7619,,2.2917,,1.8667,,2,,1.8542,,1.8333,,2.2041,,1.6458,,2.3333,,1.8375,,1.6286,,1.6111,,1.5476,,1.8125,,1.8036,,1.7857,,2.2,,1.7917,,1.9048,,1.8811,,1.8393,,1.9762,,1.4667
