Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
26,333822,,34.8,,30.2667,,31.2571,,36.381,,41.6,,40.9375,,35.6667,,21.7778,,26.4667,,32.9524,,41.449,,28.1905,,25.6667,,31.898,,18.1429,,15.2381,,16.0625,,25.5714,,19.9375,,36.4583,,42.0714,,42.4286,,33.5,,37.3878,,42.4773,,46.7222,,45.5111,,37.5238
27,343816,,34.8667,,30.5333,,32.1714,,36.7381,,42.2667,,40.6563,,33.3056,,22.4444,,26.7667,,33.7381,,39.9388,,28.0476,,25.119,,31.449,,17.7143,,15.9762,,15.9167,,25.6071,,20.7917,,38.0417,,40.7143,,44.6667,,34.475,,37.7755,,41.7159,,46.7778,,46.4222,,37.6825
28,353814,,35.8667,,30.6,,32.5429,,36.5952,,42.1333,,40.5938,,34.1111,,22.75,,26.2667,,33.6905,,42.1633,,28.7857,,24.0714,,32.7551,,17.8571,,15.9048,,16.7083,,26.1607,,20.3333,,37.25,,41.6786,,43.2857,,33.5,,36.5714,,41.2273,,46.4583,,44.6,,38
29,363814,,35.3,,31.7667,,32.6571,,36.9524,,41.8667,,40.5469,,35.0278,,22.0556,,24.7667,,33.9286,,40.9592,,28.2857,,24.2619,,31.6735,,17.5429,,15.2857,,16.9792,,25.2679,,20.0833,,37.7083,,42.6786,,44.7143,,33.6125,,36.9388,,42.2386,,46.9444,,46.3778,,37.9841
30,373815,,35.5,,30.8667,,33.2,,37,,41.6,,41.1563,,34.6389,,22.4444,,26.0333,,34.0238,,41.3673,,29.8095,,26.1905,,31.3265,,18.6,,15.0238,,16.75,,25.9107,,20.375,,36.6667,,42.3929,,45.619,,34.2625,,37.551,,41.2955,,46.5694,,46.4,,36.9524
31,383814,,34.8667,,31.1,,32.4286,,37.3095,,40.5333,,40.4844,,34.5,,22.3056,,25.5333,,34.2143,,40.8571,,29.2619,,25.9286,,32,,18.3143,,15.1667,,15.7292,,24.9643,,20.0625,,36.25,,42.3929,,44.2857,,34.2375,,36.2245,,41.3636,,47.7361,,45.7778,,38.2698
32,393814,,35.5333,,31.3333,,30.9429,,37.1667,,41.4667,,41.5313,,33.7778,,21.5278,,27.0667,,33.619,,41.4286,,29.7619,,25.5714,,31.2449,,18.6571,,15.381,,16.5625,,25.4643,,20.8333,,36.4583,,41.6071,,43.0476,,33.8625,,38.0204,,41.9545,,46.2222,,45.9778,,38.8254
33,403813,,35.5667,,30.8333,,32.0571,,36.1905,,41.8333,,41.0938,,33.9444,,22.75,,26.5,,33.6905,,41.5102,,29.119,,26.381,,31.449,,18.2857,,15.3571,,16.6042,,25.1429,,20.7292,,36.4583,,42.1429,,45.2381,,34.15,,37.5102,,42.1932,,46.9167,,45.7778,,38.1905
34,413813,,35.6333,,31.2,,31.9143,,37.5476,,42.5,,41.4063,,34.25,,22.5833,,25.7,,33.9524,,42.1633,,29.0952,,25.5238,,31.6735,,18.5143,,15.7381,,16.375,,25.7321,,20.8542,,38.3333,,41.8929,,44.6667,,34.825,,36.9388,,43.0455,,45.9306,,44.8444,,37.1746
35,423812,,35.3,,30.4,,31.6857,,36.5,,40.7333,,40.5313,,34.1389,,21.6389,,25.7667,,34.2619,,42.1837,,28.8095,,25.4762,,31.9388,,16.8857,,14.9524,,15.9375,,26.0179,,20.4792,,37,,41.2857,,43.8571,,33.7875,,37.6327,,41.5114,,45.9444,,46.4444,,38.4762
