Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
36,365020,,11.6807,,9.7014,,8.6756,,8.7958,,8.9524,,9.0549,,9.0922,,8.9281,,8.5993,,8.5503,,9.717,,9.5736,,8.772,,8.8558,,9.2336,,9.1718,,10.2599,,10.6664,,8.9991,,11.5951,,10.2157,,9.5604,,8.6421,,10.4871,,9.855,,9.0494,,9.6295,,9.6603
37,375021,,11.7983,,10.0215,,8.6723,,8.9167,,9.0903,,8.874,,9.1132,,8.7303,,8.5609,,8.6582,,9.9083,,8.9873,,8.6212,,8.9743,,8.9197,,9.6353,,10.4261,,10.8252,,9.1706,,12.0986,,10.3866,,9.3891,,8.8234,,10.2778,,9.8801,,9.6829,,9.6505,,9.5067
38,385017,,11.5657,,9.8618,,8.5238,,8.687,,8.9258,,9.2942,,8.9373,,8.5812,,8.5895,,8.6967,,9.7211,,9.118,,8.6294,,9.0538,,9.1102,,9.3851,,10.1982,,10.5576,,9.0037,,12.1477,,9.9378,,9.3227,,8.8026,,10.0147,,9.7884,,10.665,,9.3634,,9.5471
39,395109,,12.1624,,9.847,,8.6275,,8.7348,,9.009,,9.1078,,8.8284,,8.7215,,8.5949,,8.5838,,9.6753,,8.9997,,9.1652,,8.8713,,9.1428,,9.3683,,10.0818,,11.2279,,8.9979,,12.2102,,10.1256,,9.7099,,8.8444,,9.9614,,9.6715,,9.7701,,9.9386,,9.7015
40,405021,,11.6353,,9.8658,,8.6222,,8.8162,,8.9533,,9.0799,,9.0726,,9.0066,,8.6118,,8.6963,,9.914,,9.1181,,8.6399,,8.9394,,9.1502,,9.5863,,10.4979,,10.4349,,8.9236,,11.494,,10.211,,9.8001,,8.7617,,9.8803,,9.9306,,10.4167,,9.6716,,10.0537
41,415017,,11.8637,,9.7399,,8.5868,,8.7414,,8.9572,,9.0871,,9.0469,,8.9157,,8.6284,,8.8518,,9.7966,,9.1843,,8.6838,,8.8313,,9.0941,,9.3821,,10.0553,,10.3377,,8.9426,,11.7764,,10.1068,,9.8745,,8.7875,,10.1447,,9.6659,,10.0794,,9.5933,,9.8023
42,425016,,11.4646,,9.8306,,8.8101,,8.6555,,9.0714,,9.121,,9.1388,,8.9316,,8.69,,8.5511,,10.1004,,9.0874,,8.7034,,8.7545,,9.5075,,9.3008,,10.3385,,10.6749,,8.9368,,11.8257,,10.3933,,9.7577,,8.9221,,10.3116,,9.6894,,10.0127,,9.5247,,9.579
43,435017,,11.9622,,9.8848,,8.7343,,8.6257,,8.8298,,9.0482,,8.9791,,9.0739,,8.5192,,8.613,,10.0989,,9.2441,,8.8369,,8.8875,,9.2082,,9.4938,,9.9596,,10.3816,,8.9749,,12.5005,,10.7145,,9.4356,,8.8204,,10.1507,,9.8225,,10.1775,,9.2052,,9.6866
44,445015,,11.688,,9.7592,,8.5631,,8.8007,,8.9882,,9.0455,,9.1594,,8.937,,8.5891,,8.7437,,10.0176,,9.2992,,8.6337,,9.0019,,9.0975,,9.177,,9.818,,10.2143,,8.8538,,12.6727,,10.4332,,9.5676,,8.8541,,9.9523,,9.9818,,10.3113,,9.7339,,9.7369
45,455019,,2.0972,,3.024,,1.8807,,2.1299,,2.5089,,2.2659,,2.423,,2.4056,,2.398,,2.2499,,2.2174,,1.9029,,2.0573,,2.3434,,2.395,,1.9384,,2.2814,,2.3208,,2.1914,,2.4382,,2.4094,,2.4585,,2.8692,,2.3777,,2.3046,,2.0063,,2.0661,,2.0454
46,506194,,11.7264,,9.5789,,8.9086,,9.3308,,8.9755,,9.8096,,9.5259,,8.6236,,8.7125,,9.0394,,10.5245,,9.3627,,9.562,,9.7641,,9.8551,,10.2213,,11.126,,12.333,,9.1977,,11.5837,,12.5436,,12.1243,,8.7558,,11.444,,10.4201,,13.0593,,10.7023,,11.9112
47,516185,,10.856,,9.6296,,9.1462,,10.2306,,8.6156,,9.1423,,9.1391,,8.3525,,8.5642,,8.2382,,9.7816,,9.4935,,9.3124,,9.0075,,9.501,,9.7648,,10.4852,,11.4302,,8.9703,,11.0261,,12.2325,,14.6275,,8.5248,,10.5526,,9.6528,,13.7,,10.2253,,12.0956
48,526184,,12.8555,,9.7371,,9.472,,10.5788,,9.2936,,9.7338,,9.616,,9.064,,8.8045,,8.9446,,10.807,,9.571,,9.9447,,9.7205,,9.8996,,10.0602,,10.1447,,13.3869,,9.079,,11.793,,12.4038,,12.3322,,8.7196,,11.1179,,10.2607,,14.3756,,10.9168,,13.8696
49,536185,,12.4902,,10.0924,,9.2476,,10.4942,,9.108,,10.3837,,9.4429,,9.0851,,8.7148,,8.8107,,10.8015,,9.8867,,9.5513,,9.4203,,9.9015,,10.0555,,9.9864,,13.7815,,9.3791,,11.6335,,12.2169,,16.4546,,8.7692,,11.3915,,10.198,,14.4725,,10.8423,,13.1783
50,546187,,12.2533,,9.9844,,9.3474,,10.5002,,9.4604,,9.7592,,9.4864,,9.7233,,8.8712,,9.2941,,11.1843,,9.5324,,9.5762,,9.8511,,10.5514,,9.8802,,10.4067,,13.8264,,9.1601,,11.8175,,12.3,,13.0343,,8.8717,,11.3572,,10.099,,17.7758,,10.8529,,13.0394
51,556184,,12.4478,,10.0241,,9.2231,,10.496,,9.6365,,9.8389,,9.2932,,10.6438,,8.8103,,8.9122,,11.341,,9.8655,,9.3391,,9.5726,,10.2604,,10.2094,,10.6668,,14.2516,,9.1973,,12.1451,,12.5333,,13.7944,,8.9736,,11.814,,10.2662,,14.2318,,11.1911,,11.9768
