Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
37,441666,,53.8,,53.8095,,44.037,,45.1786,,36.7143,,44.381,,35.9667,,34.5714,,40.7222,,43.9762,,45.9048,,45,,60.3889,,59.4286,,61.9792,,54.1667,,47.254,,41.8333,,48.9714,,54.5238,,51.3571,,61.2619,,68.4898,,59.1964,,49.6905,,46.5918,,44.16,,51.2
38,451665,,54.1,,53.1111,,46.4815,,44.0357,,35.9286,,44.6905,,34.9,,33.7619,,43.3333,,45.0238,,45.7619,,42.75,,60.8056,,61.0476,,60.4375,,52.7381,,47.0159,,39.8333,,49.8286,,55.3095,,49.9524,,62.9762,,67.3878,,59.2321,,48.3333,,47.6327,,43.88,,51.4667
39,461666,,53.1333,,53.9365,,45.0741,,45.1786,,36.5536,,44,,36.3667,,33.9048,,42.0278,,44.6429,,46.9524,,44.1667,,60.8889,,60.7143,,59.6042,,54.7619,,46.8095,,41.2857,,49.0571,,55.2381,,49.6667,,62.2619,,68.0612,,58,,50.1905,,47.3469,,44.76,,48.2333
40,471666,,51.7333,,53.8889,,45,,45.5357,,35.3214,,43.5238,,35.6,,33.3571,,42.6111,,44.881,,45.619,,43.625,,61.9167,,59.8095,,60.25,,55.9286,,47.3651,,40.8333,,49.5714,,54.9762,,48.8095,,62.5,,68.4694,,57.6607,,49.4524,,47.2041,,43.64,,50.8333
41,481664,,52.2333,,53.6508,,46.7778,,46.1786,,36.5536,,43.7619,,35,,33.6429,,42.1667,,45.5238,,46.9048,,45.875,,61.1667,,61.6667,,60.3333,,56.4048,,47.6508,,41.2143,,50.9143,,54.381,,49.6429,,63.4048,,69.2653,,59.5536,,49.3571,,49.4694,,45.32,,50.2667
42,491665,,51.4333,,54.4127,,46.8148,,47.2857,,36.1786,,46.0238,,35.7333,,33.881,,43.4444,,46.1905,,45.5238,,45.4583,,61,,61.6429,,61.125,,56.0476,,47.8095,,41.2857,,51.6286,,54.5238,,51.0238,,63.381,,69.0204,,58.3214,,50.7381,,48.5918,,46.52,,49.8
43,501664,,54,,53.7302,,46.2963,,46.4286,,36.5536,,44.1429,,36.3,,33.9048,,43.4722,,45.0238,,47.381,,45.5417,,61.6944,,61.8333,,60.4167,,55.2143,,47.6984,,40.4286,,50.7143,,56.1905,,49.5,,62,,67.898,,59.5,,49.8333,,46.9592,,44.24,,49.9667
44,511663,,52.7333,,54.0317,,44.5185,,45.75,,35.8036,,46.3095,,34.8333,,34.2143,,42.8889,,45.8333,,45.5714,,44.5833,,62.5556,,61.2857,,59.6875,,55.5714,,48.0635,,41.5476,,51.3143,,55.9762,,50.381,,63.3333,,69.1837,,58.8036,,50.0476,,47.5918,,45.28,,51.6333
45,521663,,52.3333,,53.4603,,46.963,,47.4286,,36.8214,,45.8333,,34.6333,,34.2381,,42.9167,,45.6905,,45.5714,,44.9583,,60.9722,,61.7143,,60.6458,,56.2143,,47.9365,,41.1667,,50.4286,,56.0238,,51.5714,,62.8095,,68.9184,,58.2857,,50.6429,,47.6939,,44.52,,49.1667
46,531663,,52.4667,,54.7619,,46.3704,,45.2143,,36.3214,,44.9762,,37.4,,32.7857,,43.6667,,46.9524,,46.3333,,45,,60.2778,,62.4286,,60.1875,,54.5714,,49.0476,,42.2381,,51.1429,,56.1429,,51,,63.0238,,69.0612,,59.9821,,49.6667,,47.8163,,45.24,,48.8
47,541662,,51.8,,53.6032,,46.963,,45.0357,,36.1071,,45.3095,,35,,33.5,,44.1111,,46.6905,,46.4286,,45.875,,61.6111,,61.6905,,60.7292,,55.3095,,47.1429,,40.9048,,49.9429,,55.619,,50.7143,,63.5714,,68.9388,,58.4107,,48.6429,,47.3061,,44.36,,49.9667
