Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
41,462519,,19.8508,,22.2712,,21.788,,13.8053,,22.8275,,8.6321,,15.0925,,28.7244,,23.1203,,22.3985,,19.721,,14.811,,22.2988,,13.7694,,19.518,,18.4701,,17.5693,,17.3349,,23.0335,,28.9482,,23.2737,,21.9225,,17.6171,,21.2089,,24.8809,,21.9758,,17.5051,,16.8716
42,472519,,18.5297,,17.4151,,17.9816,,12.4922,,18.4214,,8.1672,,13.054,,23.1013,,16.6352,,16.6266,,16.2276,,12.6994,,19.813,,11.904,,17.3399,,16.3346,,14.9759,,16.8906,,20.2817,,14.0279,,19.6401,,19.9403,,16.7087,,15.7292,,22.1692,,18.2183,,16.7472,,13.6138
43,482519,,17.7617,,17.102,,15.7835,,12.1922,,19.0244,,7.9775,,13.0175,,21.2901,,14.5212,,13.5464,,15.7892,,11.6889,,19.296,,11.035,,15.8351,,15.6601,,14.2853,,17.6756,,18.3566,,13.3151,,19.1042,,20.2202,,15.1454,,12.7542,,20.9706,,20.9087,,15.7846,,12.8629
44,492518,,16.6355,,16.7554,,15.8202,,11.4264,,18.244,,8.0965,,12.7649,,20.028,,14.938,,13.3711,,16.2579,,11.063,,19.9298,,10.8431,,15.6296,,14.9553,,13.793,,15.368,,15.9481,,14.0922,,19.0435,,20.1575,,16.0157,,10.6575,,20.1452,,18.5791,,16.0799,,12.9798
45,502518,,18.203,,16.9035,,16.8007,,12.0878,,17.5337,,8.4964,,13.5092,,17.601,,13.7248,,13.084,,15.1877,,10.3474,,19.9697,,10.3283,,15.805,,13.9641,,14.6966,,15.1607,,15.9304,,14.1205,,16.8882,,18.4924,,16.4224,,9.812,,19.3645,,17.6986,,15.479,,13.0527
46,512518,,17.3115,,16.6589,,18.7378,,13.0742,,17.6052,,7.8047,,12.9891,,17.3375,,13.7054,,12.6494,,14.527,,10.8812,,19.1224,,10.5501,,15.4134,,13.9066,,14.107,,15.2251,,12.4695,,14.7099,,16.2964,,17.3323,,15.6572,,9.3101,,18.0903,,17.0006,,16.2892,,11.9897
47,522517,,17.9947,,16.0208,,16.676,,12.1573,,15.3745,,7.9823,,13.103,,15.9917,,13.1179,,12.761,,15.0066,,11.7198,,17.9109,,10.3555,,15.3488,,12.9778,,13.0428,,15.9045,,12.2323,,12.6801,,18.6605,,16.8589,,15.0607,,9.0845,,18.0804,,16.0602,,15.8006,,12.2922
48,532517,,17.204,,15.5758,,17.4731,,12.786,,18.3813,,8.5495,,14.4113,,17.0401,,13.371,,12.9133,,14.641,,11.6228,,17.4209,,10.5524,,14.6824,,12.8183,,13.9199,,15.1763,,11.7362,,13.4995,,16.1407,,17.6511,,16.0366,,8.803,,17.6017,,14.5084,,14.4575,,13.2678
49,542517,,16.8423,,15.9051,,16.8063,,12.5961,,17.1102,,7.9103,,13.3305,,18.193,,14.789,,14.7706,,15.0903,,12.3191,,17.7731,,11.2607,,15.1798,,12.417,,13.2708,,16.4873,,12.0095,,12.6055,,16.4504,,16.8999,,16.199,,8.9407,,17.0407,,17.0786,,14.6544,,12.065
50,552516,,15.642,,16.5023,,15.899,,12.6008,,16.1559,,8.1905,,13.2073,,22.3362,,14.6995,,13.8869,,14.4951,,12.3992,,18.1708,,11.0949,,14.589,,12.2486,,12.0375,,15.5922,,12.3639,,15.9121,,15.8241,,16.8089,,15.46,,9.452,,18.6479,,17.5224,,14.2882,,12.9174
51,562516,,16.0781,,14.6833,,16.0358,,12.9847,,16.1658,,8.1629,,12.8244,,24.317,,15.5814,,13.8216,,15.5269,,12.76,,18.6885,,11.2895,,15.8674,,13.3296,,14.5321,,16.727,,13.6882,,13.6129,,14.5841,,15.7973,,14.7866,,8.8758,,16.6744,,18.0038,,13.6169,,12.4478
52,572515,,15.716,,14.9593,,15.8743,,13.2866,,16.1864,,8.4502,,12.1287,,22.1171,,14.3882,,15.2321,,15.5171,,12.7132,,18.8439,,11.817,,15.3862,,13.0754,,13.6458,,16.758,,19.1084,,14.0217,,15.4488,,16.5654,,15.6843,,8.9952,,16.9335,,19.0623,,13.7788,,11.4849
53,582515,,15.8046,,16.0041,,15.2903,,12.4839,,16.2277,,7.9073,,12.1595,,24.7046,,13.9929,,13.829,,14.5375,,12.1285,,18.3182,,10.9827,,14.9486,,13.1198,,13.9177,,14.7827,,18.0772,,12.7445,,16.045,,16.7251,,15.4139,,9.2565,,16.5549,,19.3944,,14.4189,,12.3025
54,592515,,15.1956,,14.2478,,15.4798,,12.3562,,15.6654,,8.3882,,12.5953,,22.8313,,14.1088,,13.6885,,14.5623,,12.2932,,18.1372,,12.1195,,15.294,,13.8343,,12.7257,,15.5414,,17.7716,,13.4587,,15.1164,,17.2007,,15.5342,,9.0111,,16.1058,,17.8394,,13.5916,,12.2975
55,602513,,15.2284,,14.9443,,15.3873,,12.9896,,16.4585,,8.1261,,11.4885,,22.1662,,15.1454,,14.5382,,15.2525,,11.5287,,17.9264,,11.3034,,14.1772,,16.1676,,13.055,,15.4306,,16.5683,,18.1288,,16.1053,,16.3453,,15.261,,9.5068,,17.4176,,20.2015,,13.1571,,12.7515
56,612514,,15.0815,,13.5643,,14.6536,,12.4647,,14.4912,,8.4043,,12.1855,,21.9533,,14.0635,,13.9166,,14.6968,,11.1848,,17.5055,,10.8681,,15.5327,,14.7883,,12.2651,,16.4961,,16.7136,,12.7693,,15.6379,,16.9175,,14.4535,,9.055,,15.6198,,18.0269,,13.1689,,12.1127
57,622513,,14.1807,,14.4687,,14.5147,,12.6439,,16.0539,,8.1573,,11.4427,,21.1435,,14.523,,13.8408,,14.5187,,11.3105,,17.6279,,11.6774,,14.0596,,14.0521,,12.8575,,16.0285,,16.8047,,16.7941,,14.2454,,14.296,,15.0982,,9.296,,15.2477,,17.7598,,13.4944,,11.907
58,632513,,14.7621,,13.494,,14.7674,,12.4606,,15.9191,,8.0722,,11.4362,,19.6231,,13.8992,,13.0281,,14.5687,,12.0829,,17.1959,,10.8211,,14.2115,,14.3767,,12.7425,,15.2952,,14.8896,,12.9718,,15.7555,,15.2267,,15.3111,,9.2383,,15.862,,16.799,,12.3573,,11.9005
59,642513,,13.7406,,13.5447,,15.4359,,12.4363,,16.5135,,8.1395,,11.4241,,21.6399,,12.8787,,13.8407,,13.6411,,11.6359,,17.0709,,10.3583,,13.8877,,13.6879,,14.1103,,15.4925,,14.905,,15.6702,,15.9445,,14.8932,,14.4224,,8.9217,,15.3408,,16.6999,,12.309,,12.6311
60,652512,,14.7046,,12.1125,,14.6131,,12.3909,,15.7046,,7.8109,,11.1344,,17.4994,,14.3079,,13.621,,13.6564,,11.033,,16.5741,,10.6555,,13.7604,,14.5945,,12.5607,,14.7428,,14.4288,,13.0147,,13.101,,15.0619,,15.5711,,8.6551,,15.5446,,16.2658,,11.8103,,11.7777
61,662512,,14.6724,,13.2052,,14.8617,,12.2991,,14.8867,,8.0713,,10.8742,,18.6346,,14.3516,,12.7947,,13.6625,,11.2953,,16.2736,,9.9897,,13.8002,,14.2752,,10.8098,,15.8521,,14.3055,,14.2465,,14.2541,,13.4216,,15.2729,,8.5527,,15.2235,,15.4857,,12.497,,11.7526
62,672512,,14.0746,,12.3741,,15.3545,,11.8268,,14.2097,,7.8948,,11.0896,,18.9351,,13.4295,,13.8339,,12.9646,,11.2134,,15.1867,,10.8645,,13.3299,,13.5401,,12.3012,,15.5952,,14.7966,,12.1228,,14.2649,,13.5648,,13.494,,9.0352,,14.4618,,16.4879,,11.8307,,11.8043
63,682511,,14.7566,,12.8805,,14.5978,,11.3739,,14.761,,8.0997,,10.8946,,15.2537,,12.7848,,13.3157,,13.0697,,10.6168,,15.2242,,10.4454,,13.6334,,12.5889,,13.3589,,15.5117,,14.5215,,12.9438,,14.7967,,14.6306,,13.18,,8.4125,,14.3397,,14.9972,,11.7453,,11.4798
64,692511,,13.5757,,11.576,,15.1411,,11.9625,,14.601,,7.6337,,10.8093,,14.6207,,12.0308,,13.0179,,13.2364,,10.8441,,14.5775,,10.2875,,13.3685,,12.2889,,11.8498,,15.5968,,14.0486,,13.0735,,13.9342,,15.2676,,14.1134,,8.6962,,14.6216,,15.2221,,10.4373,,11.5232
